league,team,venue,city,state,vendor,stand_name,section,item_name,description,price,category,source_url,season
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Sabres Steakhouse Stack,,Coca-Cola Stand,Sabres Steakhouse Stack,"A high-end arena bite. A juicy 6 oz. beef filet piled with shoestring fries, melted raclette cheese, and caramelized onion aioli, served on a custom Sabres-branded brioche bun.",,Headline Item,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Let's Go Buffalo Wings & Pizza Logs,,Blue Line Fryer,Let's Go Buffalo Wings & Pizza Logs,"The ultimate Buffalo stadium combination. You get 10 medium chicken wings and 8 crispy pizza logs served with celery, blue cheese, and marinara, all packed inside a souvenir Sabres ice rink tray.",,Headline Item,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Perry Market,,Section 105,The French Connection,"Named after the Sabres' iconic historic forward line (Martin, Perreault, and Robert). This features three layers of golden French toast packed with ham, melted cheese, a fried egg, and a rich mustard cream sauce.",,Local Partner,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,The Tage Hero,,Perry Market,The Tage Hero,"Dedicated to superstar forward Tage Thompson. A towering Italian-style grinder loaded with genoa salami, pepperoni, ham, capicola, provolone, and mozzarella, finished with lettuce, tomato, onion, and red wine vinegar.",,Local Partner,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Top Dog,,Sections 118 & 320,Rayzor Dog,"Named after legendary enforcer and broadcaster Rob Ray. A foot-long, snappy local Sahlen's hot dog piled high with smoked pulled pork, shredded cheddar cheese, and a tangy BBQ sauce.",,Local Partner,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Helicopter Fried Bologna,,100 Level Grill,Helicopter Fried Bologna,"A pure blue-collar Buffalo tradition. A thick-cut, heavily seared slab of local bologna topped with melted American cheese, crispy bacon, lettuce, tomato, and garlic aioli.",,Local Partner,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,La Nova Stinger Pizza,,La Nova Stands,La Nova Stinger Pizza,"Buffalo’s favorite local pizzeria delivers the ultimate hybrid pie to the stands, loading slices with crispy chicken fingers, shaved top round steak, local hot sauce, and real blue cheese dressing.",,Local Partner,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Power Play Pretzel,,Section 107,Dubai Chocolate Pretzel Braid,"Bringing 2026's biggest global food trend to the ice. A giant braided soft pretzel topped with rich pistachio cream, crunchy toasted kataifi pastry threads, and a heavy chocolate drizzle.",,Local Partner,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Perry's Ice Cream Stand,,Section 106,The Timmy Shake,"A beautiful cross-border collaboration combining premium, local Western NY Perry’s Vanilla Ice Cream spun into a thick milkshake and topped with iconic Tim Hortons Timbits.",,Local Partner,,2026
NHL,Buffalo Sabres,KeyBank Center,Buffalo,NY,Sponge Candy Crunch Fried Dough,,Let's Dough Buffalo,Sponge Candy Crunch Fried Dough,"Hot, fluffy fried dough blanketed in hot fudge, warm caramel, and a heavy crunch of crushed, authentic Buffalo sponge candy.",,Local Partner,,2026
NHL,Calgary Flames,Scotiabank Saddledome,Calgary,AB,Shorty’s Short Rib Sandwich,,Section 213,Shorty’s Short Rib Sandwich,"A premium favorite on the lower concourse. It features tender, slow-braised Alberta beef short rib shredded and piled high on a fresh bun, dripping with rich savory gravy and topped with pickled red onions.",,Headline Item,,2026
NHL,Calgary Flames,Scotiabank Saddledome,Calgary,AB,Coca-Cola Test Kitchen,,Section 227,Coca-Cola Test Kitchen,"A brilliant, experimental culinary hub. The menu here features unique, rotating monthly concepts engineered by the arena's executive chefs to give fans something completely different every few weeks.",,Headline Item,,2026
NHL,Calgary Flames,Scotiabank Saddledome,Calgary,AB,Coca-Cola Test Kitchen,,Section 227,The Angry Chicken,"The definitive destination for a heavy crunch, slinging ultra-crispy, heavily spiced chicken tenders and wings tossed in classic buffalo or honey garlic sauce.",,Headline Item,,2026
NHL,Calgary Flames,Scotiabank Saddledome,Calgary,AB,Banded Peak Craft Nacho Stand,,Section 213,Banded Peak Craft Nacho Stand,"Trading standard stadium chips for high-end craft nachos piled high with cheese, jalapeños, and fresh salsa, paired perfectly with a cold pint of local Banded Peak microbrew.",,Headline Item,,2026
NHL,Calgary Flames,Scotiabank Saddledome,Calgary,AB,Foothills Creamery,,"Sections 210, 213, 224, 227",Foothills Creamery,"A beautiful taste of local Alberta dairy heritage. Fans line up even in the dead of winter for their famous Ice Cream Malts and warm, sugar-dusted churros.",,Drinks/Social,,2026
NHL,Calgary Flames,Scotiabank Saddledome,Calgary,AB,Madam Tiger,,Section 227,Madam Tiger,"A fantastic, dedicated plant-powered addition to the concourse, offering highly rated vegan and vegetarian street food alternatives to balance out the arena's heavy meat options.",,Drinks/Social,,2026
NHL,Carolina Hurricanes,Lenovo Center,Raleigh,NC,Priority Lounges,,Sections 105 & 120,The BBQ Lab,"A massive win for Carolina pit-master culture. This premium concept features low-and-slow smoked brisket and tender turkey breast paired with scratch-made sides. As a huge bonus, the BBQ Lab's proprietary house sauces…",,Drinks/Social,,
NHL,Carolina Hurricanes,Lenovo Center,Raleigh,NC,The Mac Bar,,Section 329,The Mac Bar,"The ultimate upper-concourse comfort destination. This station allows fans to completely customize a Build-Your-Own Mac & Cheese Bowl, piling on premium cheese blends, bacon bits, jalapeños, and proteins like shredded…",,Drinks/Social,,
NHL,Carolina Hurricanes,Lenovo Center,Raleigh,NC,Tombachi,,Section 107 & West Club 204,Tombachi,"A highly acclaimed Raleigh food truck favorite that found a permanent home on the ice. They serve up steaming, high-heat hibachi plates loaded with your choice of steak, chicken, shrimp, or veggies over garlic fried…",,Drinks/Social,,
NHL,Carolina Hurricanes,Lenovo Center,Raleigh,NC,Alpaca Peruvian Chicken,,Sections 110 & 322,Alpaca Peruvian Chicken,"A phenomenal, highly rated local addition that completely changes the pace from standard arena food. They sling hyper-flavorful, pulled charcoal chicken bowls, fresh seasonal salads, and perfectly golden, crispy Yuca…",,Drinks/Social,,
NHL,Carolina Hurricanes,Lenovo Center,Raleigh,NC,Buffalo Brothers,,Sections 114 & 310,Buffalo Brothers,"Pumping out fresh-baked, individual personal pizzas and jumbo chicken wings tossed in a wide variety of their signature, local sauces.",,Drinks/Social,,
NHL,Carolina Hurricanes,Lenovo Center,Raleigh,NC,Shake Shack,,Section 123,Shake Shack,"Standing as a massive anchor on the main concourse, serving up classic, 100% all-natural Angus beef ShackBurgers, crinkle-cut fries, and thick, spun-fresh frozen custard milkshakes.",,Drinks/Social,,
NHL,Carolina Hurricanes,Lenovo Center,Raleigh,NC,Han-Dee Hugo's Marketplace,,Section 126,Cheerwine Slushies,"The ultimate Carolinas sweet treat. The arena's Han-Dee Hugo's outposts function as high-speed, grab-and-go convenience stores for snacks and candies, but the Section 126 hub features the legendary, icy-cold Cheerwine…",,Drinks/Social,,
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Blue Tortilla,,Sections 121 & 217,The CBJ vs. East Coast Nachos,"A literal food rivalry on a single plate. One half is anchored in local flavor (tortilla chips, warm queso, fire-roasted corn, cotija cheese, and cilantro), while the other half changes to match the opponent's region.…",,Headline Item,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,The 61 Stack,,Concessions & Clubs,The 61 Stack,"The arena's signature, lacy-edged smash burger. It features a beautifully seared patty, white American cheese, deeply caramelized onions, and a tangy house bistro sauce on a heavily buttered bun..",,Headline Item,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,The 61 Stack,,Concessions & Clubs,Mediterranean Nachos,"A brilliant, clean-eating concourse pivot. House-fried za'atar-spiced pita chips loaded with savory shawarma chicken, a drizzle of harissa yogurt, preserved lemon, olives, feta cheese, and a crisp cucumber-tomato-onion…",,Headline Item,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,The Croissant Dog,,Main Concourse,The Croissant Dog,"Ditching the standard bun for pure laminated dough pastry. A snappy, all-beef hot dog wrapped entirely in flaky croissant dough, heavily blanketed with everything bagel seasoning, and baked golden brown.",,Headline Item,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,"The Sloppy ""No""",,Main Concourse,"The Sloppy ""No""","A stellar plant-based win. A messy, intensely flavorful vegan Korean sloppy joe topped with a crunchy Asian slaw and sweet shoyu onions on a gluten-free bun.",,Headline Item,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Schmidt’s Sausage Haus,,Section 115,Schmidt’s Sausage Haus,"The legendary German Village icon rules the lower bowl. Fans pack the line for their world-famous, hickory-smoked Bahama Mama sausages and the arena-exclusive CBJ Cream Puff—a giant, golden pastry shell stuffed to the…",,Local Partner,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Jet’s CBJ Pizza,,Multiple Sections,Jet’s CBJ Pizza,"The undisputed king of the 8-corner deep dish brings a custom arena-exclusive pie to the ice, loading their signature caramelized crust with chicken, bacon, fiery jalapeños, and a heavy drizzle of ranch.",,Local Partner,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Jet’s CBJ Pizza,,Multiple Sections,Skyline Chili,"A massive taste of regional Ohio heritage, pumping out steaming plates of classic Cincinnati 3-way chili spaghetti and cheese-blanketed coney dogs.",,Local Partner,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Jet’s CBJ Pizza,,Multiple Sections,Tim Hortons,"A massive blessing for hockey traditionalists, featuring a standalone brick-and-mortar location physically attached to the southwest corner of the arena for rapid coffee and Timbit access.",,Local Partner,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Jet’s CBJ Pizza,,Multiple Sections,Fanatics Sportsbook Offerings,"If you are catching the game inside the arena’s sportsbook lounge, the menu features exclusive bites like Puck Luck Pretzels (flash-fried pretzel bites served with a river of queso blanco and fresh pico) and…",,Local Partner,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Umami Fries,,Premium Clubs,Umami Fries,"High-end comfort food for club seat holders, featuring crispy, golden fries completely smothered in low-and-slow umami-braised beef, sweet-and-creamy yum-yum sauce, toasted sesame seeds, and scallions.",,Local Partner,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Dessert Nachos,,Luxury Suites,Dessert Nachos,"A legendary suite-level sharing platter of cinnamon-sugar corn tortilla chips piled high with fresh strawberries, blueberries, sliced bananas, hot chocolate sauce, whipped cream, and rainbow sprinkles.",,Local Partner,,2026
NHL,Columbus Blue Jackets,Nationwide Arena,Columbus,OH,Rey Supremo Tequila Bars,,Sections 104 & 115,Rey Supremo Tequila Bars,"The definitive destination for frozen mixology, churning out high-octane slushies using premium custom tequila recipes.",,Drinks/Social,,2026
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,Melt Stands,,Section 121 & Club Levels,The Hat Trick Grilled Cheese,"A towering trio of gourmet grilled cheese sandwiches served on thick-cut Texas Toast, brushed with garlic butter, and oozing with molten mozzarella and cheddar. Fans can choose between three distinct styles: a Montreal…",,Drinks/Social,,
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,The Jalapeño Popper Brat on a Bun,,Concourse Grills,The Jalapeño Popper Brat on a Bun,"A fiery, intensely savory stadium hit. A juicy, snappy bratwurst link completely smothered in a rich garlic cream cheese spread, fresh-sliced spicy jalapeños, and toasted breadcrumbs for a heavy crunch.",,Drinks/Social,,
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,The BBQ Double Dog,,Dogs & Steamers - Multiple Sections,The BBQ Double Dog,"An all-beef hot dog doubled up and stacked high with deeply sweet, caramelized onions and a heavy drench of smoky whiskey BBQ sauce.",,Drinks/Social,,
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,Loaded Beef Birria Nachos,,Section 112 - Near the Oilers Store,Loaded Beef Birria Nachos,"Universally agreed upon by locals as the single best public bite in the arena. Bypassing cheap plastic nacho cheese entirely, this massive platter features fresh-fried corn tortilla chips blanketed in high-end, creamy…",,Drinks/Social,,
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,Whyte Ave Perogy Dog,,Carve & Dogs Stands,Whyte Ave Perogy Dog,"A spectacular, delicious nod to Edmonton’s deep Ukrainian heritage. A premium local sausage nestled in a bun and completely loaded down with mini potato-and-cheese perogies, crispy bacon bits, sour cream, and fresh…",,Drinks/Social,,
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,Crisp,,Section 111,The Potato Tottine,"The ultimate hybrid midnight snack. A mountain of golden, crispy tater tots treated like a traditional Canadian poutine—blanketed in squeaky cheese curds, rich brown gravy, bacon bits, shredded cheddar, sour cream, and…",,Drinks/Social,,
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,Triple O’s,,Sections 115 & 307,Triple O’s,"The iconic West Coast burger institution handles the heavy concourse rush, pumping out their legendary 100% beef Original Burgers loaded with their famous secret chunk sauce alongside crispy thick-cut onion rings.",,Drinks/Social,,
NHL,Edmonton Oilers,Rogers Place,Edmonton,AB,CIBC Chairman’s Club,,CIBC Chairman’s Club,Studio 99,"A beautifully curated, upscale sit-down restaurant environment on the premium levels that functions as a living museum, surrounded by unparalleled, authentic Wayne Gretzky memorabilia and live broadcast stages.",,Drinks/Social,,
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,The Prime Rib Carved Sandwich,,Section 112,The Prime Rib Carved Sandwich,"High-end carvery comfort right on the main concourse. Thick, juicy prime rib is carved fresh to order, stacked high on a premium roll, and dripping with a savory, rich au jus.",,Headline Item,,2026
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,The Low-and-Slow BBQ Platters,,Section 119,The Low-and-Slow BBQ Platters,"Huge, satisfying portions of pit-smoked BBQ Ribs or BBQ Chicken, heavily piled high with all the classic fixings—sweet corn on the cob, baked beans, potato salad, and fresh coleslaw.",,Headline Item,,2026
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,The Chicken & Waffle Sandwich,,Section 119,The Chicken & Waffle Sandwich,"A gorgeous sweet-and-savory masterpiece featuring a crispy, golden-fried chicken breast sandwiched between thick, fluffy waffle layers and drizzled with spicy honey.",,Headline Item,,2026
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,Stanley’s Spud,,Section 108,Stanley’s Spud,"A massive, loaded baked potato tribute to the team's ultimate goal, split open and overflowing with melted cheese, sour cream, chives, and premium smoked proteins.",,Headline Item,,2026
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,Stanley’s Spud,,Section 108,The Palm Cattle Ranch Burgers,"The Panthers completely upgraded their standard burger operations by sourcing 100% of their fresh beef from Palm Cattle Ranch, a local, veteran-owned and operated cattle company in Florida.These premium patties are…",,Headline Item,,2026
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,The Signature Pressed Cuban Sandwich,,South Florida Specialties,The Signature Pressed Cuban Sandwich,"An authentic, flawlessly executed local tradition. Mojo-marinated pork loin, cured ham, capicola, Swiss cheese, pickle planks, and spicy brown mustard are hot-pressed on fresh Cuban bread and served with a heavy side…",,Local Partner,,
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,Lime Fresh Grill,,Section 127,Lime Fresh Grill,"A massive local favorite pumping out scratch-made Mexican street eats, including grilled mahi-mahi tacos, chips with fresh-whipped guacamole, and warm queso blanco.",,Local Partner,,
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,Playa Bowls,,Section 318,Playa Bowls,"Perfect for a clean cool-down in the tropical climate. This upper-level addition serves up refreshing, health-conscious acai, mango, and coconut bowls loaded with fresh fruit and granola, utilizing entirely…",,Local Partner,,
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,Gluten-Free & Plant-Based Hubs,,Sections 115 & 307,Gluten-Free & Plant-Based Hubs,"A massive relief for dietary restrictions, offering dedicated, crispy Gluten-Free Chicken Bites and Fries alongside cauliflower-crust cheese pizzas (Sections 108 & 328).",,Local Partner,,
NHL,Florida Panthers,Amerant Bank Arena,Sunrise,FL,The Corona Sandbar (Section 319) & Surfside Bar,,Section 130,The Corona Sandbar (Section 319) & Surfside Bar,"Laid-back, beach-inspired outposts churning out ultra-popular canned vodka iced teas, lemonades, and ice-cold imported tallboys.",,Drinks/Social,,
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,Wild Greens,,Section 118,Chicken & Wild Rice Bread Bowl,"A beautiful execution of Minnesota’s unofficial state comfort dish. Creamy, deeply savory chicken and wild rice soup served piping hot inside a hollowed-out, toasted sourdough bread bowl and topped with a crunch of…",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,Wild Greens,,Section 118,The Blue Ox Salad,"A vibrant, crisp blend of Arcadian spring greens and spinach tossed with sharp Maytag blue cheese, sweet local blueberries, candied pecans, and a refreshing white balsamic vinaigrette.",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,The Viva MN Grain Bowl,,Wild Greens,The Viva MN Grain Bowl,"A heavy-hitting, protein-packed base of quinoa and brown rice loaded with roasted chicken, black beans, charred corn, cheddar cheese, and a punchy chipotle-agave dressing.",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,Fully Loaded Spuds,,Wild Greens,Fully Loaded Spuds,"Giant, salt-crusted baked potatoes split open and stuffed to order with whipped butter, sour cream, thick-cut bacon crumbles, and fresh green chives.",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,Quinnesota Meatballs,,Section 112,Quinnesota Meatballs,"A brilliant, comforting local play slinging oversized, scratch-made savory beef-and-pork meatballs swimming in rich, velvety gravy or classic marinara.",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,Pajarito,,Section C22,Pajarito,"Bringing upscale Twin Cities Mexican flair to the Club Level. Lines stay packed for their Charro Bean Tacos, loaded pork nachos, and fresh-whipped guacamole served with high-end, salted corn tortilla chips.",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,Sheboygan Sausage Haus,,Sections 103 & 116,Sheboygan Sausage Haus,"The traditional, un-skippable Midwest stop for snappy, fire-braised local sausages and classic ballpark dogs.",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,City Burger,,Sections 112 & C36,City Burger,"Handling the heavy halftime burger rush with ultra-lacy, beautifully seared double smashburgers melted with American cheese and served with heavily salted, hand-cut French fries.",,Local Partner,,2026
NHL,Minnesota Wild,Grand Casino Arena,Saint Paul,MN,The Grand Cove,,Near Section 125,The Grand Cove,"A massive, beautifully lit fan activation zone. Between periods, fans can stop by to play interactive digital games, enter exclusive merchandise sweepstakes, and win real Grand Casino hotel stays, concert tickets, or…",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,The Mega Poutine,,Chquick Chquick,The Mega Poutine,"A showstopper for the current campaign. While they serve various premium single-portion poutines year-round, they have introduced a viral, shareable MEGA Poutine—a massive tray of crispy golden fries piled high with a…",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,Hand-Carved Smoked Meat,,Habs Déli,Hand-Carved Smoked Meat,"A flawless execution of a legendary Montreal staple. Tender, juicy, spiced beef brisket is piled high on fresh rye bread with a heavy smear of yellow mustard, served alongside a classic deli pickle.",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,Hand-Carved Smoked Meat,,Habs Déli,HABSburger & HABSdog,"High-velocity grill stations that have completely modernized the stadium burger and hot dog, smashing fresh beef patties on buttered buns and serving snappy, premium franks loaded with custom relishes.",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,Hand-Carved Smoked Meat,,Habs Déli,Mito & CHOPA,"Elegant, lighter alternatives on the go, pumping out fresh-rolled sushi rolls, clean poke bowls, and Mediterranean-inspired gourmet bowls loaded into warm pita bread.",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,"The ""Steamie""",,Bell Centre Hot Dogs,"The ""Steamie""","A beautifully nostalgic, mandatory rite of passage. These are traditional Montreal-style steamed hot dogs—soft, pillowy buns housing a snappy frank, traditionally topped with yellow mustard, chopped onions, and a…",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,La Classique Pizza,,Pizza Pizza Trattoria,La Classique Pizza,"Fast-moving, individual thin-crust artisan pizzas that offer a perfect, portable slice to take right back to your seat between periods.",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,La Classique Pizza,,Pizza Pizza Trattoria,Mythik,"A gorgeous, trendsetting lounge designed to mimic an intimate, high-end speakeasy. It features a sophisticated market-to-table menu using local Quebec products, handcrafted signature cocktails from expert mixologists,…",,Local Partner,,2026
NHL,Montreal Canadiens,Bell Centre,Montreal,QC,Canti Osteria & Bar,,Pizza Pizza Trattoria,La Cage – Brasserie sportive,"The ultimate, high-energy sports bar experience attached right to the arena. It features iconic fan promotions throughout the season:",,Local Partner,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,The Broadway Glazed Honey Stack,,Food Court Burgers - Stand S102,The Broadway Glazed Honey Stack,"A beautifully chaotic, late-night masterpiece that captures the essence of Lower Broadway. It features a fresh beef burger patty, melted cheddar, crispy applewood bacon, and sweet BBQ sauce, sandwiched directly between…",,Local Partner,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,The Puck & Stick Grinder,,Gnash Grilled Cheese & Grinders - Stand F122,The Puck & Stick Grinder,"A towering, game-night sub packed with smoked turkey, Black Forest ham, pepper jack cheese, lettuce, tomato, onion, and a heavy drizzle of buttermilk ranch on a local toasted hoagie roll.",,Drinks/Social,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,Cheeseburger Fries,,Smashville State Fair Stands,Cheeseburger Fries,"Crispy, heavily salted French fries completely smothered in seasoned ground beef, warm liquid cheese sauce, diced onions, lettuce, shredded tomatoes, and a heavy kick of tangy house ""Preds Sauce.""",,Drinks/Social,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,Puckett’s BBQ,,"Stands 101, 112, 323",Puckett’s BBQ,"Downtown Nashville’s beloved down-home comfort icon handles the heavy carvery lines. The 2026 additions are legendary, including BBQ Pork Nachos dripping in cheese and sour cream, a massive Smoked BBQ Burrito stuffed…",,Local Partner,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,Banjo’s Pickin’ Chicken,,Section 109,Banjo’s Pickin’ Chicken,"The undisputed home of the heat. Fans swarm this stand for the legendary Nashville Hot Chicken Mac & Cheese or the brand-new Korean Fried Chicken Sandwich, which features a massive fried chicken breast drenched in…",,Local Partner,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,Hunt Brothers Pizza,,Sections 116 & 310,Hunt Brothers Pizza,"A massive local favorite slinging piping hot, fast-access personal pepperoni and cheese pies right next to guest services.",,Local Partner,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,Christie Cookie Co.,,Section 118,Christie Cookie Co.,"Nashville’s signature gourmet cookie empire keeps the main concourse smelling incredible, baking up warm, gooey chocolate chip and white chocolate macadamia cookies all night.",,Local Partner,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,The Upper Concourse Frozen Drink Bar,,Section 313,The Upper Concourse Frozen Drink Bar,"The ultimate cool-down destination on a busy game night, spinning high-octane slushies including Frosé (frozen wine), top-shelf frozen margaritas, and a localized Frozen Bourbon Peach Tea.",,Local Partner,,2026
NHL,Nashville Predators,Bridgestone Arena,Nashville,TN,Local Craft Hubs,,Sections 114 & 118,Local Craft Hubs,"The arena rejects generic tap handles to highlight local fermentation masters. Grab a fresh pint of Homestyle IPA from Bearded Iris, a custom craft can from Tailgate Brewery, or local hard cider from Diskin Cider.",,Local Partner,,2026
NHL,New Jersey Devils,Prudential Center,Newark,NJ,Bacon Jam Grilled Cheese,,"Sections 1, 118, & 126",Bacon Jam Grilled Cheese,"The breakout star of the current campaign. A decadent, triple-cheese melt of American, provolone, and sharp white cheddar layered with a sweet-and-spicy house-made cherry pepper bacon jam, pressed on thick-cut Texas…",,Headline Item,,2026
NHL,New Jersey Devils,Prudential Center,Newark,NJ,Melba's Signature Chicken & Waffle Bowl,,Section 107,Melba's Signature Chicken & Waffle Bowl,"Brought in by Harlem’s iconic Melba Wilson, this stand pumps out seasoned, deep-fried chicken thighs drenched in Mike’s Hot Honey, served inside a crispy waffle bowl with a side of chipotle mayo. (Don't sleep on her…",,Headline Item,,2026
NHL,New Jersey Devils,Prudential Center,Newark,NJ,Brick City Dogs,,Sections 4 & 110,The Jersey Shore Dog,"A beautiful tribute to the Garden State's most fiercely debated meat. A snappy all-beef hot dog piled high with crispy fried Taylor Ham (or pork roll, depending on what side of the state line you're on), melted cheese…",,Headline Item,,2026
