league,team,venue,city,state,vendor,stand_name,section,item_name,description,price,category,source_url,season
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Brooklyn Brewery & Friends,,"Grab & Go Sections 24, 206, 226",Brooklyn Brewery & Friends,"Frictionless beverage markets are heavily stocked with elite local Brooklyn craft cans from Talea, Three's Brewing, Grimm, and Brooklyn Brewery.",,Local Partner,,
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Brooklyn Brewery & Friends,,"Grab & Go Sections 24, 206, 226",JetBlue at The Key,"A high-energy, members-only lounge that infuses Brooklyn’s streetball and vibrant park culture with an upscale, all-inclusive buffet.",,Local Partner,,
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Brooklyn Market Presented by National Grid,,Section 17,Brooklyn Market Presented by National Grid,"The ultimate destination for diverse eats, featuring a rotating lineup of minority-owned neighborhood small businesses.",,Dietary/Value,,
NBA,Brooklyn Nets,Barclays Center,Brooklyn,NY,Brooklyn Market Presented by National Grid,,Section 17,School Grounds by Food Education Fund,"A standout kiosk inside the Brooklyn Market where NYC public high school culinary students prepare and sell elevated gameday bites, with proceeds directly supporting youth hospitality education.",,Dietary/Value,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,Hugo's Hive Items,,"Sections 108, 116, 208 & 225",Hugo's Hive Items,"Standard Hot Dog, Pretzel Bites, Popcorn, Bottled Dasani Water, and Fountain Soda.",,Local Partner,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,704 Kitchen,,Section 108,704 Kitchen,"Positioned next to the newly constructed Baseline Bar (which features an open design so you never lose sight of the court), this concept rotates a different neighborhood Charlotte restaurant every single month to…",,Local Partner,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,Piedmont Pit,,Section 114,Piedmont Pit,"The undisputed destination for authentic Carolina-style BBQ. Fans flock here for the Pulled Pork, Double-Smoked Burnt Ends, and creamy baked mac and cheese.",,Local Partner,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,NoDa Cantina,,Section 110,NoDa Cantina,"The go-to spot for West Coast-meets-East Coast flavor, serving up Super Loaded Nachos and crisp Baja Fish Tacos.",,Local Partner,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,Brixx Pizza,,"Sections 105, 203, 218",Brixx Pizza,"A local favorite serving up hot, fresh personal wood-fired pizzas that move rapidly during halftime.",,Local Partner,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,Chick-fil-A & Freddy's,,Upper Concourse,Chick-fil-A & Freddy's,"Familiar staples have been expanded upstairs, including a dedicated Chick-fil-A cart and Freddy's Frozen Custard.",,Local Partner,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,Queen City Cravings,,Section 109,Queen City Cravings,"The primary stop for a sugar rush or a caffeine kick, featuring local treats from Amélie's French Bakery, Knowledge Perk Coffee, and hand-scooped Bruster's Real Ice Cream or Gnam Gnam Gelato.",,Local Partner,,
NBA,Charlotte Hornets,Spectrum Center,Charlotte,NC,Fastbreak Markets,,"Sections 102, 116, 208, 226",Fastbreak Markets,"Frictionless checkout-free markets have expanded significantly.Just tap your card, grab a local Sycamore Mountain Candy IPA or a quick wrap, and walk right out.",,Dietary/Value,,
NBA,Chicago Bulls,United Center,Chicago,IL,Centennial Six Stack Burger,,Legacy Burger Stands,Centennial Six Stack Burger,"A massive triple-cheeseburger piled high with Havarti, pepper jack, and American cheeses, lettuce, tomato, and onion—crafted with six decadent layers to celebrate Chicago's legendary championship legacies.",,Headline Item,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,"The ""Next Originals"" Elote Dog",,Chicago Dish Stands,"The ""Next Originals"" Elote Dog","A modern-day fan favorite featuring a jumbo all-beef Vienna frank loaded with fresh Mexican street corn (elote), cotija cheese, and a heavy dust of Flamin’ Hot Cheeto crumbs.",,Headline Item,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Wedge Steakhouse Sandwich,,Chicago Dish Stands,Wedge Steakhouse Sandwich,"Inspired by Chicago's historic meatpacking district and elite steakhouses, this features a chargrilled ribeye steak topped with smoked bacon, iceberg lettuce, fresh tomatoes, and a thick blue cheese dressing.",,Headline Item,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Crispy Mozzarella Pucks,,Chicago Dish Stands,Crispy Mozzarella Pucks,"A clever hockey-themed upgrade to a classic. These are jumbo, puck-shaped mozzarella sticks encrusted in a parmesan-herb breading and served with a side of house-made marinara.",,Headline Item,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Crispy Mozzarella Pucks,,Chicago Dish Stands,Centennial Loaded Waffle Fries,"Seasoned waffle fries layered to the brim with jalapeño cheese sauce, crispy bacon pieces, fresh tomatoes, sour cream, and chives.",,Headline Item,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Honey Butter Fried Chicken,,Section 115,Honey Butter Fried Chicken,The beloved North Side staple is a mandatory stop for their ultra-juicy Crispy Chicken Strips (served with honey buffalo or candied jalapeño mayo) and the new Buffalo Ranch Fries.,,Local Partner,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,This Little Goat Taqueria,,Sections 114 & 230,This Little Goat Taqueria,"Helmed by Top Chef winner Stephanie Izard, serving up Yucatan Pork Tacos and fresh tortilla chips paired with an avocado dip coated in chili-lime crunch seasoning.",,Local Partner,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Giordano's,,Section 120,Giordano's,"You can grab their classic 6-inch personal deep dish, but the 2026 standout is the Centennial Thin Crust Pizza, loaded with meatballs, banana peppers, black olives, and spicy Chicago giardiniera.",,Local Partner,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Lillie’s Q,,Lexus Club Level,Lillie’s Q,Southern BBQ meets the Midwest. The lines stay long for their Loaded Brisket Fries and 6-hour slow-smoked Pulled Pork Sandwich.,,Local Partner,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Queenie’s Supper Club,,Accessible via the Atrium,Queenie’s Supper Club,"A moody, ultra-luxurious take on the traditional upper-Midwest supper club. Ticket holders head here for the ""Queenie's Cut"" Prime Rib, chicken parmesan rigatoni, and the Split Old Fashioned (a high-octane mix of…",,Local Partner,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Chicago Stadium Club,,Lexus Club Level,Chicago Stadium Club,"Exclusive to 200-level ticket holders, offering an expansive, high-end Chef’s Table buffet before and during the game.",,Local Partner,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,Rocky’s Bar,,Section 119,Rocky’s Bar,"A sophisticated main concourse stop specializing in heavy-pouring, classic baseline cocktails like the Rocky's Bar Martini (using Ketel One and Carpano Bianco) and classic Manhattans.",,Drinks/Social,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,FanDuel Lounge,,Section 113 & Atrium,FanDuel Lounge,The perfect spot to track stats and lines while sipping a refreshing Amaretto Peach Smash or a Don Julio Paloma.,,Drinks/Social,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,FanDuel Lounge,,Section 113 & Atrium,The Next Original Drop,"A signature 2026 cocktail crafted in a commemorative cup, blending Ketel One vodka, limoncello, Cointreau, and fresh Italian ice.",,Drinks/Social,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,The Double-Dog,,Chicago Dish Locations,The Double-Dog,"To keep families fed on a budget without sacrificing local authenticity, this item packs two full-sized Vienna Beef franks into a single soft bun, loaded with mustard, neon green relish, sport peppers, onions, and…",,Dietary/Value,,2026
NBA,Chicago Bulls,United Center,Chicago,IL,The Double-Dog,,Chicago Dish Locations,Maxwell Street Polish,"A time-honored Chicago tradition featuring a snappy Vienna Polish sausage smothered in sweet, caramelized onions and yellow mustard on a poppyseed bun.",,Dietary/Value,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,Symon's Burger Joint,,Portals 9 & 43,The Big Cleve Burger,"A monster creation from Food Network star Michael Symon. A smash-patty cheeseburger topped with grilled local kielbasa, ballpark fries, and a heavy pour of hot nacho cheese.",,Headline Item,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,The Tremonster Cheesesteak,,Rocco's - Northwest Atrium,The Tremonster Cheesesteak,"Chef Rocco Whalen’s legendary street-level favorite. Shaved ribeye loaded with melted provolone, sautéed mushrooms, and onions, served alongside the Chicken Sack (honey-butter tossed tenders).",,Headline Item,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,Pearl’s Kitchen,,Portal 18,Sriracha Maple Crispy Chicken Sando,Chef Tiwanna Scott-Williams brings soulful comfort food to the concourse. This golden-fried chicken breast is drenched in a sweet-and-heat sriracha maple glaze and topped with pickles on a plush potato bun.,,Headline Item,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,The Cleveland Hot Chicken Sandwich,,Loudville Grill,The Cleveland Hot Chicken Sandwich,"Created by local icon Vic Searcy (Sauce the City), this features a massive, crispy chicken breast dusted in a secret Cleveland spice blend that gives the perfect amount of Midwest heat.",,Headline Item,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,The Funghi Wood-Fired Pizza,,Flour Pizza Co.,The Funghi Wood-Fired Pizza,"Chefs Matt Mytro and Paul Minnillo bring gourmet, blistered-crust pies to the arena. The standout is topped with wild mushrooms, Mackenzie goat cheese, roasted shallots, and a drizzle of white truffle oil.",,Headline Item,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,South Neighborhood,,Green House Kitchen,South Neighborhood,"Helmed by James Beard Award-winner Jonathon Sawyer, specializing in street-style Signature Frites and giant Handmade Bavarian Pretzels with local stadium mustard.",,Headline Item,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,South Neighborhood,,Green House Kitchen,Elmore's Smokehouse,"A fan-favorite partnership with Cavs Legend Elmore Smith. Every platter of pulled pork and ribs is drenched in Elmore’s signature, locally bottled BBQ sauce.",,Headline Item,,2026
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,Crown Royal Bar,,Huntington Bank Club Level,Crown Royal Bar,"A sophisticated lounge right next to the Rotunda, specializing in curated whiskey flights and premium classic cocktails.",,Drinks/Social,,
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,CLE/MKT,,Portal 21,CLE/MKT,"The arena's premier destination for lighter, healthier, and farm-to-table fare. Partnering with Vegan Vicki, this market offers BBQ Chik'n Wraps, Caesar Salads, and fresh fruit options.",,Dietary/Value,,
NBA,Cleveland Cavaliers,Rocket Arena,Cleveland,OH,CLE/MKT,,Portal 21,Mitchell’s Ice Cream,"Cleveland’s favorite small-batch ice cream is available at multiple portals, served in souvenir mini-helmets.",,Dietary/Value,,
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,Modelo Gold Lion Bar & Grill,,Section 103,Waffle Fry Nachos,"A massive 2026 fan favorite. A mountain of crispy waffle fries drenched in warm Modelo beer queso, topped with fresh pico de gallo and jalapeño ranch. It comes with a surprisingly addictive, crunchy side of Buffalo…",,Headline Item,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,Zavala’s Barbeque,,Section 121,Zavala’s Barbeque,"Routinely named among the absolute best BBQ spots in North Texas. Their permanent concourse stand stays packed for the Sloppy Juan Tacos, chopped brisket nachos, and the legendary Smoked Brisket Hot Dog.",,Headline Item,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,Tostitos Cantina,,Section 104,Cheetos Flamin’ Hot Elote Dog,"A snappy Niman Ranch hot dog loaded with sweet street corn, cotija cheese, and completely blanketed in crushed Flamin’ Hot Cheetos.",,Headline Item,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,S'mores Nachos,,High Steaks Stands,S'mores Nachos,"The ultimate stunt dessert—graham cracker ""chips"" piled high with melted marshmallows, chocolate chunks, and a heavy drizzle of chocolate syrup.",,Headline Item,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,El Taco Tex Churros,,Sections 105 & 117,El Taco Tex Churros,"Crispy, golden, and served piping hot with a side of dulce de leche.",,Drinks/Social,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,Platinum Level,,Section 202,Yuengling Flight Club,"Led by Chef Andres Dominguez, this upscale pre-game Chef’s Table boasts a prime layout of seasonal carving stations, gourmet charcuterie boards, and custom-paired wine flights.",,Drinks/Social,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,Angel’s Envy Bourbon Club & VIP Lounge,,Section 202,Fancier Cocktails,"Standard wells have been pushed aside at bars like the Patrón Tequilería and CASA Bacardí for premium cocktail menus featuring top-shelf Espresso Martinis, Smoked Old Fashioneds, and fresh-squeezed Palomas.",,Drinks/Social,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,Market to Go,,"Sections 104, 111, 319",Market to Go,"Perfect for a quick, lighter pivot from heavy stadium food, offering fresh deli-style sandwiches, artisan tossed salads, and a nutrient-dense Vegan Power Bowl.",,Dietary/Value,,2026
NBA,Dallas Mavericks,American Airlines Center,Dallas,TX,Market to Go,,"Sections 104, 111, 319",Bud Light Grab & Go Carts,"Slick, frictionless self-checkout beer coolers loaded with domestic tallboys and local Texas craft cans to keep halftime lines moving instantly.",,Dietary/Value,,2026
NBA,Denver Nuggets,Ball Arena,Denver,CO,Redeemer Pizza,,Sections 126 & 342,Redeemer Pizza,"The legendary RiNo district pizzeria has an outpost here, slinging their artisan ""New York 2.0"" slices. It features high-end ingredients like Ezzo cup-and-char pepperoni and California San Marzano tomatoes.",,Local Partner,,2026
NBA,Denver Nuggets,Ball Arena,Denver,CO,Nola Jane,,Section 303,Nola Jane,"Bringing authentic Southern hospitality to the 300 level. Their signature Debris Po'Boyfeatures 8-hour braised beef dripping in jus gravy. They also serve Alligator Sausage, Jambalaya, and Nola Poutine (fries smothered…",,Local Partner,,2026
NBA,Denver Nuggets,Ball Arena,Denver,CO,Mexico City Lounge,,Section 328,Mexico City Lounge,"A classic Denver institution famous for its Fried Tacos ($16 for 3), which feature a uniquely crispy, golden shell and a cult-like local following.",,Local Partner,,2026
NBA,Denver Nuggets,Ball Arena,Denver,CO,Big Belly Brothers BBQ,,Sections 148 & 379,Big Belly Brothers BBQ,"The destination for smoked meats. Highlights include 20-hour Smoked Brisket Sandwiches, Beef Burnt Ends, and Loaded Brisket Chili Fries.",,Local Partner,,2026
NBA,Denver Nuggets,Ball Arena,Denver,CO,Cluck Shack Chicken,,Section 146,Cluck Shack Chicken,"Perfect for a heavy crunch, specializing in the Nashville Hot Chicken and Waffle Sandwich and jumbo chicken tenders.",,Local Partner,,2026
NBA,Denver Nuggets,Ball Arena,Denver,CO,Jakes Baby D's,,Section 134,Jakes Baby D's,"Making a grand return to the arena, this local favorite fills the concourse with the aroma of hot, fresh-fried Mini Donuts and craft coffee.",,Local Partner,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,The Playoff Run-ning Taco,,Portal 26,The Playoff Run-ning Taco,"An elevated walking taco using an extra-large, shareable bag of Flamin' Hot Cheetos packed tight with seasoned proteins, melted cheeses, and sour cream.",,Drinks/Social,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,Apple BBQ Chicken,,Slow's Bar-B-Q,Apple BBQ Chicken,"A special centenary item introduced for the Red Wings' historic season, featuring tender chicken drenched in a sweet, smoky local apple BBQ glaze.",,Drinks/Social,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,The Coop,,Portals 18 & 19,All The Time Fry,"Crispy, seasoned fries loaded with a proprietary ""All The Time"" spice blend, house sauce, and fresh scallions.",,Drinks/Social,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,The Scoop,,Portals 18 & 19,Full Court Press Sundae,"Creamy vanilla ice cream topped with your choice of red or blue soda, sprinkles, and a Pistons-branded topper, served inside a collectible souvenir sneaker cup.",,Drinks/Social,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,EggRollDiva,,1701 Pub,EggRollDiva,"The Detroit food truck legend brings its ultra-popular, heavily stuffed specialty egg rolls back to the concourse for the playoff crowds.",,Local Partner,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,EggRollDiva,,1701 Pub,Belle’s Tap House Ramen,"A surprise hit for hockey and basketball fans alike, serving deeply savory, steaming bowls of craft ramen right on the concourse.",,Local Partner,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,The 2645 Pastrami,,1701 Pub,The 2645 Pastrami,"A towering, deli-style pastrami sandwich layered with Swiss cheese and spicy mustard on marble rye.",,Local Partner,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,Little Caesars Pizza,,Multiple Portals,Little Caesars Pizza,"It wouldn't be the ""Dough Joe"" without it. You can grab quick-service, classic hot-and-ready slices ($8–$10) all over the 100 and 300 levels.",,Local Partner,,2026
NBA,Detroit Pistons,Little Caesars Arena,Detroit,MI,Mike's Pizza Bar,,Multiple Portals,The Mixing Board,"A from-scratch, Michigan-themed culinary experience. For the 2026 season, their standout item is the Fresh England-Style Lobster Roll.",,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Stacked Sandos,,Portal 20,Stacked Sandos,"A flavor-packed sandwich shop serving up elevated, heavy hot sandwiches. The undisputed star of 2026 is the Korean Bulgogi Cheesesteak, featuring deeply marinated beef with a slight kick, though the Classic French Dip…",,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Golden State Waffle Co.,,Portal 15,Golden State Waffle Co.,"Next-level comfort food combining sweet and savory. The headline item is the Golden Firebird Sando—a fiery take on Nashville hot chicken sandwiched between golden, crispy waffles and drizzled with real maple syrup and…",,Headline Item,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Pure Catch,,Portal 22,Pure Catch,"A fresh seafood spot blending island tradition with modern flair. Highly praised for its vibrant Tuna Poke Bowls (as well as vegetarian beet bowls), Poke Nachos, and crispy Cream Cheese Rangoons.",,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,La Ciudad,,Portal 11,La Ciudad,"A vibrant celebration of Latin street food, serving up street tacos crafted with freshly made masa corn tortillas. Options include Al Pastor Chicken and luscious Bistecca Burnt Ends.",,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Swish & Sugar,,Portal 24,Swish & Sugar,"A bold dessert destination partnering with SF legend Mitchell’s Ice Cream. Fans line up for warm, gooey blondies and brownies topped with premium scoops, but the ultimate move is the Waffle Ice Cream Sando laced with…",,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Nuevos,,Portal 3,Nuevos,"Bringing bold, soulful New Mexican cuisine to life. Standouts include the New Mexico Green Chile & Chicken Quesadilla and the savory Carne Adovada Sopapilla.",,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Tony G’s Slice House Pizza,,Multiple Portals,Tony G’s Slice House Pizza,"The award-winning local pizza staple has expanded for 2026, debuting a dedicated Soft-Serve Ice Cream machine with rotating flavors alongside their classic premium slices.",,Drinks/Social,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,City Bistro,,Portal 9,City Bistro,"Home of the new Chicken Elote Nachos—crispy tortilla chips loaded with tender chicken, street corn, cotija cheese, and lime crema.",,Drinks/Social,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Señor Sisig,,Outside the Gates,Señor Sisig,The legendary local food truck icon serving up its famous Filipino fusion Sisig Burritos and loaded fries right outside the gates.,,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Fikscue Craft Barbecue,,Main Concourse,Fikscue Craft Barbecue,A sensational Bay Area mashup serving certified Halal Texas BBQ infused with traditional Indonesian flavors (like brisket beef rendang).,,Local Partner,,2026
NBA,Golden State Warriors,Chase Center,San Francisco,CA,Sake ONO,,Courtside & Luxury Boxes,Sake ONO,"A premium addition for the 2026 season, bringing Japanese-brewed Junmai Daiginjo sake directly to the luxury theater boxes and courtside lounges.",,Drinks/Social,,2026
NBA,Houston Rockets,Toyota Center,Houston,TX,Haute Dog,,Section 108,The Big Tex Sausage,"A fiery local favorite. A juicy 1/4 lb. spicy jalapeño-and-cheese smoked sausage loaded with a sweet-and-heat six-pepper relish, fiery arbol salsa, and smoky chipotle aioli.",,Headline Item,,2026
