league,team,venue,city,state,vendor,stand_name,section,item_name,description,category,season,venue_slug
MLS,Colorado Rapids,DICK'S Sporting Goods Park,Commerce City,CO,The High Press,,Section 130,Brisket Grilled Cheese & Chips,"Thick-cut Texas toast pressed golden with a gooey multi-cheese blend and stuffed to the brim with smoky, tender beef brisket.",Local Partner,2026,dick-s-sporting-goods-park
MLS,Colorado Rapids,DICK'S Sporting Goods Park,Commerce City,CO,Nacho Nacho,,Section 105,Arctic Cinnamon Nachos,The ultimate sweet finish for the middle of a tight second half—crispy tortilla chips tossed in heavy cinnamon sugar and blanketed in dessert toppings.,Local Partner,2026,dick-s-sporting-goods-park
MLS,Colorado Rapids,DICK'S Sporting Goods Park,Commerce City,CO,Chillco Drinks,,The Chillville Stand,Chillco Drinks,"Bringing a total beach vibe to the mountains. This hot new destination spins vibrant high-octane frozen slushies like piña coladas, margaritas, and strawberry daiquiris. Pro-tip for chilly early-spring or late-autumn…",Drinks/Social,2026,dick-s-sporting-goods-park
MLS,Colorado Rapids,DICK'S Sporting Goods Park,Commerce City,CO,Eighteen76 & Dale's Bar,,South End,Eighteen76 & Dale's Bar,"The definitive social epicenter of DSGP. Located right behind the south stand, this massive indoor/outdoor bar space functions as a giant pre- and post-match tavern, pumping out a massive list of craft beers from…",Drinks/Social,2026,dick-s-sporting-goods-park
MLS,Columbus Crew,Lower.com Field,Columbus,OH,Schmidt’s Sausage Haus,,Section 128,The Bahama Mama Platter,"A beautiful tribute to Columbus's historic German Heritage. This heavy-hitting platter serves up their world-famous, spicy, and snappy hickory-smoked Bahama Mama sausage. But the true scene-stealer is the massive Black…",Local Partner,2026,lower-com-field
MLS,Columbus Crew,Lower.com Field,Columbus,OH,Southeast Corner,,Near The Pub Entrance,Condado Tacos,"Columbus’s massive build-your-own taco empire anchors a full brick-and-mortar footprint. Crew fans pack this zone for loaded street corn, signature chips with house queso, custom taco bowls, and a heavy menu of…",Local Partner,2026,lower-com-field
MLS,Columbus Crew,Lower.com Field,Columbus,OH,Dirty Franks Hot Dog Palace,,Section 143,The Chicago Dog,"Downtown Columbus’s beloved late-night hot dog joint brings its quirky personality to the stadium. The Chicago Dog is a full, vibrant production—loaded down with tomatoes, onions, sports peppers, neon green relish, a…",Local Partner,2026,lower-com-field
MLS,Columbus Crew,Lower.com Field,Columbus,OH,Sideline Nacho,,Section 105,Achiote Chicken Nachos,"A spectacular, messy shareable. Fresh-fried corn tortilla chips blanketed in a rich liquid queso, slow-cooked achiote-marinated chicken, zesty lime crema, and their signature Black & Gold salsa.",Local Partner,2026,lower-com-field
MLS,Columbus Crew,Lower.com Field,Columbus,OH,Endeavor Brewing,,Section 127,Gourmet Asian Bowls,"A phenomenal, clean-eating alternative that delivers massive flavor without the heavy grease. Fans swarm this stand for the Sweet Thai Chicken Bowl or the General Tso Beef Meatball Bowl, both packed over steaming white…",Local Partner,2026,lower-com-field
MLS,Columbus Crew,Lower.com Field,Columbus,OH,The Dirty Pop Soda Shop,,Section 108,The Dirty Pop Soda Shop,Capitalizing heavily on the massive viral mocktail trend for the 2026 campaign. This dedicated beverage station serves up custom fountain sodas spiked with creams and flavor syrups. The breakout hits are the Coconut…,Local Partner,2026,lower-com-field
MLS,Columbus Crew,Lower.com Field,Columbus,OH,Ben’s Pretzels,,Sections 108 & 125,Gourmet Pretzel Bites,"Soft, pillowy, Amish-style dough handles the halftime rush perfectly. Go classic with hot cheese sauce, or lean all the way into your sweet tooth with their Cinnamon Sugar Bites completely drenched in rich cream cheese…",Local Partner,2026,lower-com-field
MLS,D.C. United,Audi Field,Washington,DC,Black & Red Grill,,Section 117,The DCU Butcher Burger,"A premium, thick-cut pub burger layered with melted American cheese, crisp pickles, and a smoky house burger sauce on a pillowy brioche bun.",Local Partner,2026,audi-field
NWSL,Washington Spirit,Audi Field,Washington,DC,Black & Red Grill,,Section 117,The DCU Butcher Burger,"A premium, thick-cut pub burger layered with melted American cheese, crisp pickles, and a smoky house burger sauce on a pillowy brioche bun.",Local Partner,2026,audi-field
MLS,D.C. United,Audi Field,Washington,DC,Dill Pickle Tater Tots,,Audi Essentials - Multiple Sections,Dill Pickle Tater Tots,"A massive cult favorite for the current campaign. Crispy golden tater tots tossed in a heavy, mouth-puckering dill pickle seasoning and served with a side of zesty ranch dipping sauce.",Local Partner,2026,audi-field
NWSL,Washington Spirit,Audi Field,Washington,DC,Dill Pickle Tater Tots,,Audi Essentials - Multiple Sections,Dill Pickle Tater Tots,"A massive cult favorite for the current campaign. Crispy golden tater tots tossed in a heavy, mouth-puckering dill pickle seasoning and served with a side of zesty ranch dipping sauce.",Local Partner,2026,audi-field
MLS,D.C. United,Audi Field,Washington,DC,Kick’n Chicken,,Sections 115 & 125,Kick’n Chicken,"The definitive destination for a heavy crunch, pumping out giant buttermilk chicken tenders, seasoned fries, and hot crispy chicken sandwiches at maximum velocity.",Local Partner,2026,audi-field
NWSL,Washington Spirit,Audi Field,Washington,DC,Kick’n Chicken,,Sections 115 & 125,Kick’n Chicken,"The definitive destination for a heavy crunch, pumping out giant buttermilk chicken tenders, seasoned fries, and hot crispy chicken sandwiches at maximum velocity.",Local Partner,2026,audi-field
MLS,D.C. United,Audi Field,Washington,DC,Maria’s Pupuseria,,Sections 116 & 134,Maria’s Pupuseria,"Routinely commanding some of the longest lines in the building. These are thick, hand-patted, traditional Salvadoran griddle cakes made from corn masa, stuffed to order and served piping hot. Choose between Pork &…",Local Partner,2026,audi-field
NWSL,Washington Spirit,Audi Field,Washington,DC,Maria’s Pupuseria,,Sections 116 & 134,Maria’s Pupuseria,"Routinely commanding some of the longest lines in the building. These are thick, hand-patted, traditional Salvadoran griddle cakes made from corn masa, stuffed to order and served piping hot. Choose between Pork &…",Local Partner,2026,audi-field
MLS,FC Dallas,Toyota Stadium,Frisco,TX,The FC Dallas BBQ Bacon Jam & Cheddar Burger,,Stand 8,The FC Dallas BBQ Bacon Jam & Cheddar Burger,"A spectacular, two-handed monument to Texas indulgence. A perfectly seared beef patty stacked high with a deeply smoky house bacon jam, melted sharp cheddar, crisp lettuce, tomato, onions, and pickles on a plush bun.",,2026,toyota-stadium
MLS,FC Dallas,Toyota Stadium,Frisco,TX,The Nashville Hot Honey Chicken Sandwich,,Stand 8,The Nashville Hot Honey Chicken Sandwich,"Delivering a world-class crunch to the pitch. This features a juicy, pickle-brined battered chicken breast drenched in a zesty hot honey sauce and Nashville spices, cooled down with crisp pickles and lettuce.",,2026,toyota-stadium
MLS,FC Dallas,Toyota Stadium,Frisco,TX,Pernil Nachos,,Winners Club,Pernil Nachos,"The ultimate multi-person shareable as the match tightens. A massive pile of crispy tortilla chips layered with tender, slow-roasted pork pernil, black beans, warm queso, fresh pico de gallo, and a dust of chili…",,2026,toyota-stadium
MLS,FC Dallas,Toyota Stadium,Frisco,TX,Match Day Cookie Melt,,Winners Club,Match Day Cookie Melt,"A highly indulgent, gooey chocolate chip cookie bake served piping hot for a perfect sweet finish.",,2026,toyota-stadium
MLS,FC Dallas,Toyota Stadium,Frisco,TX,Brisket Cotija Tacos,,Stand 9,Brisket Cotija Tacos,"Striking the perfect balance between rich smoke and vibrant brightness. Warm flour tortillas are folded around juicy, chopped Texas barbecue brisket, then topped with pickled red onions, cotija cheese, fresh cilantro,…",,2026,toyota-stadium
MLS,FC Dallas,Toyota Stadium,Frisco,TX,The Tex Mex Striker Burrito,,Stand 9,The Tex Mex Striker Burrito,"A massive, heavily upgraded handheld meal. A giant flour tortilla is stuffed to the brim with stewed pinto beans, seasoned ground beef, a cheddar-jack cheese blend, sweet corn salsa, warm liquid queso, and Spanish…",,2026,toyota-stadium
MLS,FC Dallas,Toyota Stadium,Frisco,TX,Cross Bar Chicken Tinga Quesadillas,,Winners Club,Cross Bar Chicken Tinga Quesadillas,"Crispy, flat-top grilled flour tortillas oozing with melted cheese and zesty, deeply flavorful shredded chicken tinga.",,2026,toyota-stadium
MLS,Houston Dynamo FC,Shell Energy Stadium,Houston,TX,Trill Burgers,,Section 130,Trill Burgers,"The absolute, viral smash-burger phenomenon founded by Houston rap legend Bun B. This booth commands massive, steady lines all night for its ultra-lacy, crispy-edged beef smash patties melted with American cheese and…",Local Partner,2026,shell-energy-stadium
NWSL,Houston Dash,Shell Energy Stadium,Houston,TX,Trill Burgers,,Section 130,Trill Burgers,"The absolute, viral smash-burger phenomenon founded by Houston rap legend Bun B. This booth commands massive, steady lines all night for its ultra-lacy, crispy-edged beef smash patties melted with American cheese and…",Local Partner,2026,shell-energy-stadium
MLS,Houston Dynamo FC,Shell Energy Stadium,Houston,TX,Roostar Vietnamese Grill,,Section 139/140,Roostar Vietnamese Grill,"A beautiful nod to Houston's massive, deeply rooted Vietnamese community, serving up exceptional, rapid-velocity crispy pork and chicken Banh Mi Sandwiches alongside loaded rice bowls.",Local Partner,2026,shell-energy-stadium
NWSL,Houston Dash,Shell Energy Stadium,Houston,TX,Roostar Vietnamese Grill,,Section 139/140,Roostar Vietnamese Grill,"A beautiful nod to Houston's massive, deeply rooted Vietnamese community, serving up exceptional, rapid-velocity crispy pork and chicken Banh Mi Sandwiches alongside loaded rice bowls.",Local Partner,2026,shell-energy-stadium
MLS,Houston Dynamo FC,Shell Energy Stadium,Houston,TX,The El Tiempo Cantina Margaritas,,Sections 110 & 136,The El Tiempo Cantina Margaritas,"You cannot legally claim you've attended a match in Houston without facing down a proper margarita. El Tiempo brings its legendary, high-potency frozen and rocks margaritas straight to the main concourse to fuel the…",Drinks/Social,2026,shell-energy-stadium
NWSL,Houston Dash,Shell Energy Stadium,Houston,TX,The El Tiempo Cantina Margaritas,,Sections 110 & 136,The El Tiempo Cantina Margaritas,"You cannot legally claim you've attended a match in Houston without facing down a proper margarita. El Tiempo brings its legendary, high-potency frozen and rocks margaritas straight to the main concourse to fuel the…",Drinks/Social,2026,shell-energy-stadium
MLS,Houston Dynamo FC,Shell Energy Stadium,Houston,TX,Above the Home Goal,,Section 135,The Corona Premier Bar,"A spectacular, wide-open general admission social space positioned directly over the net. It offers a full bar, incredible open-air sightlines of the pitch, and a massive selection of ice-cold imports.",Drinks/Social,2026,shell-energy-stadium
NWSL,Houston Dash,Shell Energy Stadium,Houston,TX,Above the Home Goal,,Section 135,The Corona Premier Bar,"A spectacular, wide-open general admission social space positioned directly over the net. It offers a full bar, incredible open-air sightlines of the pitch, and a massive selection of ice-cold imports.",Drinks/Social,2026,shell-energy-stadium
MLS,Houston Dynamo FC,Shell Energy Stadium,Houston,TX,Little Patagonia Empanadas,,Section 119,Little Patagonia Empanadas,"A perfect portable pairing station, slinging hot, flaky beef and spinach empanadas alongside a dedicated craft beverage cart.",Drinks/Social,2026,shell-energy-stadium
NWSL,Houston Dash,Shell Energy Stadium,Houston,TX,Little Patagonia Empanadas,,Section 119,Little Patagonia Empanadas,"A perfect portable pairing station, slinging hot, flaky beef and spinach empanadas alongside a dedicated craft beverage cart.",Drinks/Social,2026,shell-energy-stadium
MLS,CF Montréal,Stade Saputo feels less like American stadium,TBD,TBD,Famoso,,Italian Specialties,Famoso,"In a nod to the club's deep Italian roots, this stand serves up comforting, high-quality Italian classics. Skip the hot dogs and grab crispy, cheese-stuffed Arancini (fried rice balls), a rotating variety of fresh…",Local Partner,2026,stade-saputo-feels-less-like-american-stadium
MLS,CF Montréal,Stade Saputo feels less like American stadium,TBD,TBD,Taqueria Chida,,Mexican Street Food,Taqueria Chida,"If you're craving some heat, this spot serves up fantastic chicken or pork street tacos, loaded chili nachos, churros, and their signature Mexican Spice Fries and Mexican Chili Poutine.",Local Partner,2026,stade-saputo-feels-less-like-american-stadium
MLS,Nashville SC,GEODIS Park,Nashville,TN,Prince’s Hot Chicken,,Section 116,Prince’s Hot Chicken,"The undisputed blueprint. Prince’s invented Nashville Hot Chicken, and having them on the concourse is a massive win. Their Hot Chicken Sandwich is served on simple white bread with pickles, dripping with heat. Grab…",Local Partner,2026,geodis-park
MLS,Nashville SC,GEODIS Park,Nashville,TN,Central BBQ & Sideline Smoke,,Section 113,Central BBQ & Sideline Smoke,"The air around the concourse hits you with a heavy wood-smoke aroma before you even see the stands. Central BBQ serves up elite Memphis-style Pulled Pork Sandwiches and Smoked Sausage, while the Sideline Smoke outpost…",Local Partner,2026,geodis-park
MLS,Nashville SC,GEODIS Park,Nashville,TN,Chivanada,,Section 124,Chivanada,"A fantastic, portable matchday snack. They serve up authentic, scratch-made Colombian Empanadas featuring a perfectly crispy cornmeal shell stuffed with savory beef or chicken.",Local Partner,2026,geodis-park
MLS,Nashville SC,GEODIS Park,Nashville,TN,Chivanada,,Section 124,The Banger Burger,"(Tri Star Tavern, Section 120)",Local Partner,2026,geodis-park
MLS,Orlando City SC,Co Stadium,TBD,TBD,4 Rivers Smokehouse,,Section 31,4 Rivers Smokehouse,"A legendary Florida institution. Skip the standard hot dogs and head straight here for championship-caliber, hyper-tender Beef Brisket or Pulled Pork Sandwiches slathered in their signature sweet BBQ sauce.",Local Partner,2026,co-stadium
NWSL,Orlando Pride,Co Stadium,TBD,TBD,4 Rivers Smokehouse,,Section 31,4 Rivers Smokehouse,"A legendary Florida institution. Skip the standard hot dogs and head straight here for championship-caliber, hyper-tender Beef Brisket or Pulled Pork Sandwiches slathered in their signature sweet BBQ sauce.",Local Partner,2026,co-stadium
MLS,Orlando City SC,Co Stadium,TBD,TBD,The COOP by 4 Rivers,,Section 9,The COOP by 4 Rivers,"If you are craving scratch-made Southern comfort, this spot delivers incredible, ultra-crispy Southern Fried Chicken Baskets and homestyle sides.",Local Partner,2026,co-stadium
NWSL,Orlando Pride,Co Stadium,TBD,TBD,The COOP by 4 Rivers,,Section 9,The COOP by 4 Rivers,"If you are craving scratch-made Southern comfort, this spot delivers incredible, ultra-crispy Southern Fried Chicken Baskets and homestyle sides.",Local Partner,2026,co-stadium
MLS,Philadelphia Union,Subaru Park,Chester,PA,Philip Steaks & Philly Cheesesteak Co.,,Section 107,Philip Steaks & Philly Cheesesteak Co.,"If you want a proper, authentic cheesesteak on a real, high-quality roll with melted Cooper Sharp cheese or Whiz, this is your immediate first stop. No tourist traps here—it's a legit representation of the city's…",,2026,subaru-park
MLS,Philadelphia Union,Subaru Park,Chester,PA,Chickie’s & Pete’s,,"Sections 108, 117, & 129",Chickie’s & Pete’s,"A legendary Philadelphia sports bar institution. You are here for one thing: their world-famous Crabfries. These are crinkle-cut french fries heavily dusted with a proprietary blend of crab seasoning, served with a…",,2026,subaru-park
MLS,Philadelphia Union,Subaru Park,Chester,PA,PrimoHoagies,,Section 125,PrimoHoagies,"A massive win for sandwich purists. They slice premium meats to order onto their signature seeded, award-winning crusty bread. Go for the Turkey Diablo or the Italian Diablo if you want a hoagie with a serious kick of…",Local Partner,2026,subaru-park
MLS,Philadelphia Union,Subaru Park,Chester,PA,P.J. Whelihan’s,,"Sections 101, 120, & 122",P.J. Whelihan’s,The go-to spot for classic pub grub done right. Fans line up heavily for their ultra-crispy Buffalo Chicken Wraps and the OG Smashburger.,Local Partner,2026,subaru-park
MLS,Philadelphia Union,Subaru Park,Chester,PA,The Heineken Deck,,Above Section 104,The Heineken Deck,"A massive, elevated social space. It is the ultimate spot to stand around, enjoy a cold pint, and soak in the incredible panoramic views of the pitch and the giant bridge towering over the stadium.",Local Partner,2026,subaru-park
MLS,Philadelphia Union,Subaru Park,Chester,PA,Copper Bonnet Distillery Outposts,,"Sections 103, 112, & 114",Copper Bonnet Distillery Outposts,"A major addition to the stadium's craft beverage program. They serve premium, refreshing canned gin cocktails at dedicated Grab & Go markets and standalone beverage carts across the concourse.",Local Partner,2026,subaru-park
MLS,Philadelphia Union,Subaru Park,Chester,PA,Rita’s Water Ice,,Section 109,Rita’s Water Ice,"If you're catching a scorching mid-summer July match, grab a classic Philly combination of cherry or mango ""water ice"" mixed with soft-serve custard.",Local Partner,2026,subaru-park
MLS,Real Salt Lake,America First Field,TBD,TBD,J. Dawgs,,East & West Concourses,J. Dawgs,"An absolute Utah institution. They skip the basic stadium frank in favor of premium, quarter-pound all-beef hot dogs and Polish sausages that are deeply scored and flame-grilled. The real magic is J. Dawgs Special…",Local Partner,2026,america-first-field
MLS,Real Salt Lake,America First Field,TBD,TBD,Swig,,North Concourse,Swig,"You can't talk about Utah food culture without mentioning the ""dirty soda"" phenomenon. Swig has an official outpost serving up massive, customizable carbonated creations mixed with cream, fresh fruit, and flavored…",Local Partner,2026,america-first-field
MLS,Real Salt Lake,America First Field,TBD,TBD,San Diablos Churros,,Plaza,San Diablos Churros,"Utah’s famous artisan food truck pushes out fresh, golden, intensely crispy churros filled to order with decadent caramel (dulce de leche), Nutella, or sweet cream.",Dietary/Value,2026,america-first-field
MLS,Real Salt Lake,America First Field,TBD,TBD,San Diablos Churros,,Plaza,Match Day Donut and Coffee Stand,"A brilliant addition to the concourse, frying up fresh, hot mini donuts tossed right in front of you in cinnamon or powdered sugar. It doubles as a specialty coffee house serving up iced cold brews and lattes.",Dietary/Value,2026,america-first-field
MLS,Real Salt Lake,America First Field,TBD,TBD,San Diablos Churros,,Plaza,Float On,"The go-to spot for an authentic, tropical Dole Whip, alongside gourmet ice cream floats and award-winning edible cookie dough.",Dietary/Value,2026,america-first-field
MLS,San Diego FC,Snapdragon Stadium,San Diego,CA,Seaside Market,,Sections 104 & 134,Seaside Market,"Home of the world-famous ""Cardiff Crack""—a legendary, heavily marinated burgundy pepper tri-tip steak. You can get it piled high on a toasted brioche bun, or go all out with the Tri-Tip Nachos, which are smothered in…",Local Partner,2026,snapdragon-stadium
NWSL,San Diego Wave,Snapdragon Stadium,San Diego,CA,Seaside Market,,Sections 104 & 134,Seaside Market,"Home of the world-famous ""Cardiff Crack""—a legendary, heavily marinated burgundy pepper tri-tip steak. You can get it piled high on a toasted brioche bun, or go all out with the Tri-Tip Nachos, which are smothered in…",Local Partner,2026,snapdragon-stadium
MLS,San Diego FC,Snapdragon Stadium,San Diego,CA,Buona Forchetta,,"Sections 103, 122, & 329",Buona Forchetta,"Authentic, wood-fired Neapolitan pizzas. The ""Bruna"" (meat lovers) and the ""Augusta"" (vegetarian) are both exceptional.",Local Partner,2026,snapdragon-stadium
NWSL,San Diego Wave,Snapdragon Stadium,San Diego,CA,Buona Forchetta,,"Sections 103, 122, & 329",Buona Forchetta,"Authentic, wood-fired Neapolitan pizzas. The ""Bruna"" (meat lovers) and the ""Augusta"" (vegetarian) are both exceptional.",Local Partner,2026,snapdragon-stadium
MLS,San Diego FC,Snapdragon Stadium,San Diego,CA,The Still by Cutwater,,Section 334 & Carts,The Still by Cutwater,"Founded right in San Diego, Cutwater Spirits has massive real estate here. You can grab their award-winning canned cocktails (like the Tequila Margarita or Vodka Mule) or custom-mixed cocktails across the upper and…",Local Partner,2026,snapdragon-stadium
NWSL,San Diego Wave,Snapdragon Stadium,San Diego,CA,The Still by Cutwater,,Section 334 & Carts,The Still by Cutwater,"Founded right in San Diego, Cutwater Spirits has massive real estate here. You can grab their award-winning canned cocktails (like the Tequila Margarita or Vodka Mule) or custom-mixed cocktails across the upper and…",Local Partner,2026,snapdragon-stadium
MLS,San Diego FC,Snapdragon Stadium,San Diego,CA,Ultra Classics,,"Sections 104, 114, 327",Ultra Classics,"While they handle standard stadium fare, they are home to the stadium's viral dessert hit: S’mores Nachos, which feature crisp chips topped with melted marshmallow fluff, chocolate drizzle, and cinnamon sugar.",Local Partner,2026,snapdragon-stadium
NWSL,San Diego Wave,Snapdragon Stadium,San Diego,CA,Ultra Classics,,"Sections 104, 114, 327",Ultra Classics,"While they handle standard stadium fare, they are home to the stadium's viral dessert hit: S’mores Nachos, which feature crisp chips topped with melted marshmallow fluff, chocolate drizzle, and cinnamon sugar.",Local Partner,2026,snapdragon-stadium
MLS,San Diego FC,Snapdragon Stadium,San Diego,CA,Batch & Box,,Section 114 Cart,Batch & Box,"A Del Mar-based bakery pushing out incredibly thick, gooey, artisanal gourmet cookies that make the perfect halftime treat.",Local Partner,2026,snapdragon-stadium
NWSL,San Diego Wave,Snapdragon Stadium,San Diego,CA,Batch & Box,,Section 114 Cart,Batch & Box,"A Del Mar-based bakery pushing out incredibly thick, gooey, artisanal gourmet cookies that make the perfect halftime treat.",Local Partner,2026,snapdragon-stadium
MLS,San Jose Earthquakes,PayPal Park,San Jose,CA,Big Chicken,,Section 12,Big Chicken,"Shaquille O'Neal's famous fast-casual concept has a massive permanent home here. They sling ultra-thick, hand-breaded, crispy chicken sandwiches loaded with custom sauces, buffalo chicken variants, and high-quality…",Local Partner,2026,paypal-park
NWSL,Bay FC,PayPal Park,San Jose,CA,Big Chicken,,Section 12,Big Chicken,"Shaquille O'Neal's famous fast-casual concept has a massive permanent home here. They sling ultra-thick, hand-breaded, crispy chicken sandwiches loaded with custom sauces, buffalo chicken variants, and high-quality…",Local Partner,2026,paypal-park
MLS,San Jose Earthquakes,PayPal Park,San Jose,CA,Big Chicken,,Section 12,Bibo’s NY Pizza,"A massive South Bay favorite that brings legit, high-quality, giant New York-style slices directly to the concourse. They also serve a killer meatball sub that is perfect for a brisk evening match.",Local Partner,2026,paypal-park
NWSL,Bay FC,PayPal Park,San Jose,CA,Big Chicken,,Section 12,Bibo’s NY Pizza,"A massive South Bay favorite that brings legit, high-quality, giant New York-style slices directly to the concourse. They also serve a killer meatball sub that is perfect for a brisk evening match.",Local Partner,2026,paypal-park
MLS,San Jose Earthquakes,PayPal Park,San Jose,CA,Big Chicken,,Section 12,Stand 10 Steep Boba Drinks,"Leaning beautifully into the massive Asian-American culture of San Jose, this spot pairs refreshing, customized milk teas and boba drinks with hot Chicken Kimchi Fried Rice Bowls and crispy potstickers with savory…",Local Partner,2026,paypal-park
NWSL,Bay FC,PayPal Park,San Jose,CA,Big Chicken,,Section 12,Stand 10 Steep Boba Drinks,"Leaning beautifully into the massive Asian-American culture of San Jose, this spot pairs refreshing, customized milk teas and boba drinks with hot Chicken Kimchi Fried Rice Bowls and crispy potstickers with savory…",Local Partner,2026,paypal-park
MLS,Seattle Sounders FC,Lumen Field,Seattle,WA,The Rope Sausage & Smoked Turkey,,Section 113,The Rope Sausage & Smoked Turkey,"Skip the basic hot dogs and head straight here. They serve up incredibly juicy, heavy-duty smoked Rope Sausages and perfectly tender Smoked Turkey Sandwiches on soft buns.",Local Partner,2026,lumen-field
NWSL,Seattle Reign FC,Lumen Field,Seattle,WA,The Rope Sausage & Smoked Turkey,,Section 113,The Rope Sausage & Smoked Turkey,"Skip the basic hot dogs and head straight here. They serve up incredibly juicy, heavy-duty smoked Rope Sausages and perfectly tender Smoked Turkey Sandwiches on soft buns.",Local Partner,2026,lumen-field
MLS,Seattle Sounders FC,Lumen Field,Seattle,WA,Kickin' Chicken,,Section 114,Kickin' Chicken,"This is where you go if you're tired of basic poultry. They dish out massive Buffalo Chicken Sandwiches, crisp popcorn chicken buckets, curly fries, and an incredible order of Buffalo Cauliflower Bites for an elevated…",Local Partner,2026,lumen-field
NWSL,Seattle Reign FC,Lumen Field,Seattle,WA,Kickin' Chicken,,Section 114,Kickin' Chicken,"This is where you go if you're tired of basic poultry. They dish out massive Buffalo Chicken Sandwiches, crisp popcorn chicken buckets, curly fries, and an incredible order of Buffalo Cauliflower Bites for an elevated…",Local Partner,2026,lumen-field
MLS,Seattle Sounders FC,Lumen Field,Seattle,WA,Brat & Brau,,Section 101,Brat & Brau,"Celebrating the region's deep German heritage, this spot serves snap-casing Smoked Brats and a 9"" Polish Sausage loaded with sauerkraut and caraway. For a genius fusion snack, grab the Brat-chos—tortilla chips…",Local Partner,2026,lumen-field
NWSL,Seattle Reign FC,Lumen Field,Seattle,WA,Brat & Brau,,Section 101,Brat & Brau,"Celebrating the region's deep German heritage, this spot serves snap-casing Smoked Brats and a 9"" Polish Sausage loaded with sauerkraut and caraway. For a genius fusion snack, grab the Brat-chos—tortilla chips…",Local Partner,2026,lumen-field
MLS,St. Louis City SC,CITYPARK,St. Louis,MO,Balkan Treat Box,,Section 111,Balkan Treat Box,"The undisputed, world-famous crown jewel of the stadium. People line up immediately at gates open for their Beef Lahmacun (a rolled Balkan flatbread topped with minced beef, fresh onions, cabbage, feta, and a signature…",Local Partner,2026,citypark
MLS,St. Louis City SC,CITYPARK,St. Louis,MO,The Fattened Caf,,Section 104,The Fattened Caf,Bringing incredible Filipino BBQ to the pitch. Fans absolute rave over their Pork Belly Sisig and juicy chicken longganisa (sausage) served over garlic jasmine rice and topped with a bright calamansi citrus cream.,Local Partner,2026,citypark
